,timestamp,tag,description,condition
699368,2022-01-09 02:16:01,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH
699877,2022-01-09 02:24:30,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,LOW
701726,2022-01-09 02:55:19,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,HIGH RECOVERED
702495,2022-01-09 03:08:08,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,LOW RECOVERED
703358,2022-01-09 03:22:31,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,LOW RECOVERED
703459,2022-01-09 03:24:12,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,LOW
704166,2022-01-09 03:35:59,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,LOW RECOVERED
704268,2022-01-09 03:37:41,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH HIGH
704408,2022-01-09 03:40:01,PI104,V-104 DISTILLATE VESSEL PRESSURE,LOW LOW
704871,2022-01-09 03:47:44,FI110,TOLUENE PRODUCT FLOW,LOW
705023,2022-01-09 03:50:16,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH HIGH RECOVERED
705792,2022-01-09 04:03:05,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH RECOVERED
707401,2022-01-09 04:29:54,FI110,TOLUENE PRODUCT FLOW,LOW RECOVERED
707860,2022-01-09 04:37:33,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,LOW
709450,2022-01-09 05:04:03,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW LOW
709497,2022-01-09 05:04:50,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,FAULT
711155,2022-01-09 05:32:28,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,FAULT
711292,2022-01-09 05:34:45,PI104,V-104 DISTILLATE VESSEL PRESSURE,LOW LOW RECOVERED
712595,2022-01-09 05:56:28,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,FAULT RECOVERED
712660,2022-01-09 05:57:33,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH HIGH
712845,2022-01-09 06:00:38,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,LOW RECOVERED
712992,2022-01-09 06:03:05,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW LOW RECOVERED
714963,2022-01-09 06:35:56,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH
715193,2022-01-09 06:39:46,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH
715210,2022-01-09 06:40:03,PI104,V-104 DISTILLATE VESSEL PRESSURE,LOW
715221,2022-01-09 06:40:14,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH HIGH
715273,2022-01-09 06:41:06,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,HIGH HIGH
715969,2022-01-09 06:52:42,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH HIGH RECOVERED
716867,2022-01-09 07:07:40,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,HIGH HIGH RECOVERED
717362,2022-01-09 07:15:55,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,FAULT RECOVERED
718351,2022-01-09 07:32:24,PI104,V-104 DISTILLATE VESSEL PRESSURE,LOW RECOVERED
718438,2022-01-09 07:33:51,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,LOW
718932,2022-01-09 07:42:05,FI101,T-101 DISTILLATION COLUMN IN FLOW,LOW
718968,2022-01-09 07:42:41,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH RECOVERED
719037,2022-01-09 07:43:50,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH RECOVERED
719854,2022-01-09 07:57:27,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH HIGH RECOVERED
720639,2022-01-09 08:10:32,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH
720831,2022-01-09 08:13:44,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,FAULT
720956,2022-01-09 08:15:49,LI104,V-104 DISTILLATE VESSEL LEVEL,LOW
721408,2022-01-09 08:23:21,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,LOW LOW
722159,2022-01-09 08:35:52,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW
722711,2022-01-09 08:45:04,FI101,T-101 DISTILLATION COLUMN IN FLOW,LOW RECOVERED
722748,2022-01-09 08:45:41,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH HIGH
723285,2022-01-09 08:54:38,LI104,V-104 DISTILLATE VESSEL LEVEL,LOW RECOVERED
723363,2022-01-09 08:55:56,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,HIGH
723774,2022-01-09 09:02:47,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,LOW LOW RECOVERED
724358,2022-01-09 09:12:31,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,LOW RECOVERED
724445,2022-01-09 09:13:58,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT
724944,2022-01-09 09:22:17,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW RECOVERED
724983,2022-01-09 09:22:56,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW
726384,2022-01-09 09:46:17,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH RECOVERED
726534,2022-01-09 09:48:47,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT RECOVERED
726755,2022-01-09 09:52:28,TI109,E-104 CONDENSER INLET TEMPERATURE,FAULT
726899,2022-01-09 09:54:52,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,HIGH RECOVERED
726902,2022-01-09 09:54:55,TI109,E-104 CONDENSER INLET TEMPERATURE,FAULT RECOVERED
726952,2022-01-09 09:55:45,FI110,TOLUENE PRODUCT FLOW,FAULT
727584,2022-01-09 10:06:17,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,FAULT RECOVERED
728171,2022-01-09 10:16:04,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH HIGH RECOVERED
728577,2022-01-09 10:22:50,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,FAULT
728717,2022-01-09 10:25:10,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,FAULT RECOVERED
728763,2022-01-09 10:25:56,FI101,T-101 DISTILLATION COLUMN IN FLOW,LOW LOW
728874,2022-01-09 10:27:47,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW LOW
729238,2022-01-09 10:33:51,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW
729792,2022-01-09 10:43:05,FI101,T-101 DISTILLATION COLUMN IN FLOW,LOW LOW RECOVERED
730375,2022-01-09 10:52:48,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW RECOVERED
730846,2022-01-09 11:00:39,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW RECOVERED
731024,2022-01-09 11:03:37,FI110,TOLUENE PRODUCT FLOW,FAULT RECOVERED
731501,2022-01-09 11:11:34,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW
733292,2022-01-09 11:41:25,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW
734031,2022-01-09 11:53:44,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH HIGH
734167,2022-01-09 11:56:00,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH
734569,2022-01-09 12:02:42,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW LOW RECOVERED
735842,2022-01-09 12:23:55,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW RECOVERED
736529,2022-01-09 12:35:22,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,LOW
736940,2022-01-09 12:42:13,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,FAULT
736996,2022-01-09 12:43:09,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH RECOVERED
737060,2022-01-09 12:44:13,PI104,V-104 DISTILLATE VESSEL PRESSURE,HIGH
737094,2022-01-09 12:44:47,PI104,V-104 DISTILLATE VESSEL PRESSURE,HIGH RECOVERED
737229,2022-01-09 12:47:02,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH HIGH RECOVERED
737239,2022-01-09 12:47:12,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,HIGH HIGH
737338,2022-01-09 12:48:51,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW
737802,2022-01-09 12:56:35,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW
738759,2022-01-09 13:12:32,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW RECOVERED
738968,2022-01-09 13:16:01,FI101,T-101 DISTILLATION COLUMN IN FLOW,FAULT
739034,2022-01-09 13:17:07,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW RECOVERED
739499,2022-01-09 13:24:52,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,LOW RECOVERED
739625,2022-01-09 13:26:58,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,FAULT
740708,2022-01-09 13:45:01,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,FAULT
740767,2022-01-09 13:46:00,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,HIGH HIGH RECOVERED
740931,2022-01-09 13:48:44,TI106,E-106 REBOILER INLET TEMPERATURE,FAULT
741448,2022-01-09 13:57:21,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW RECOVERED
741561,2022-01-09 13:59:14,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH
742542,2022-01-09 14:15:35,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,FAULT RECOVERED
742681,2022-01-09 14:17:54,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,FAULT RECOVERED
743555,2022-01-09 14:32:28,FI101,T-101 DISTILLATION COLUMN IN FLOW,FAULT RECOVERED
743937,2022-01-09 14:38:50,TI106,E-106 REBOILER INLET TEMPERATURE,FAULT RECOVERED
745672,2022-01-09 15:07:45,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,FAULT
746103,2022-01-09 15:14:56,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH
746201,2022-01-09 15:16:34,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,FAULT
746369,2022-01-09 15:19:22,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW
747214,2022-01-09 15:33:27,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,FAULT RECOVERED
747341,2022-01-09 15:35:34,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH RECOVERED
749399,2022-01-09 16:09:52,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,FAULT RECOVERED
749809,2022-01-09 16:16:42,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,FAULT RECOVERED
750995,2022-01-09 16:36:28,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH RECOVERED
751256,2022-01-09 16:40:49,TI106,E-106 REBOILER INLET TEMPERATURE,LOW LOW
751470,2022-01-09 16:44:23,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW RECOVERED
751493,2022-01-09 16:44:46,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH
751552,2022-01-09 16:45:45,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH
751593,2022-01-09 16:46:26,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH HIGH
751874,2022-01-09 16:51:07,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH HIGH
752443,2022-01-09 17:00:36,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,HIGH
752528,2022-01-09 17:02:01,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW LOW
752774,2022-01-09 17:06:07,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW
753364,2022-01-09 17:15:57,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,HIGH HIGH
753390,2022-01-09 17:16:23,TI106,E-106 REBOILER INLET TEMPERATURE,LOW LOW RECOVERED
753996,2022-01-09 17:26:29,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW
754461,2022-01-09 17:34:14,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH RECOVERED
755190,2022-01-09 17:46:23,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW RECOVERED
755374,2022-01-09 17:49:27,HS102B,P-102B VIBRATION HI,FAULT RECOVERED
755553,2022-01-09 17:52:26,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH HIGH RECOVERED
755922,2022-01-09 17:58:35,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
755965,2022-01-09 17:59:18,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH RECOVERED
756081,2022-01-09 18:01:14,HS102B,P-102B VIBRATION HI,FAULT
756117,2022-01-09 18:01:50,FI106,E-106 REBOILER INLET FLOW,LOW
756240,2022-01-09 18:03:53,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH HIGH RECOVERED
756465,2022-01-09 18:07:38,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW LOW RECOVERED
757213,2022-01-09 18:20:06,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,HIGH HIGH
757254,2022-01-09 18:20:47,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,HIGH HIGH RECOVERED
757543,2022-01-09 18:25:36,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW RECOVERED
757930,2022-01-09 18:32:03,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,HIGH RECOVERED
758866,2022-01-09 18:47:39,FI101,T-101 DISTILLATION COLUMN IN FLOW,FAULT
759101,2022-01-09 18:51:34,PI104,V-104 DISTILLATE VESSEL PRESSURE,HIGH HIGH
760015,2022-01-09 19:06:48,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,LOW LOW
760054,2022-01-09 19:07:27,FI105,BENZENE PRODUCT FLOW,LL
760598,2022-01-09 19:16:31,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH
760671,2022-01-09 19:17:44,FI105,BENZENE PRODUCT FLOW,LL RECOVERED
760826,2022-01-09 19:20:19,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,HIGH HIGH RECOVERED
761336,2022-01-09 19:28:49,FI101,T-101 DISTILLATION COLUMN IN FLOW,HIGH HIGH
761455,2022-01-09 19:30:48,PI104,V-104 DISTILLATE VESSEL PRESSURE,HIGH HIGH RECOVERED
761897,2022-01-09 19:38:10,FI101,T-101 DISTILLATION COLUMN IN FLOW,FAULT RECOVERED
761946,2022-01-09 19:38:59,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW
762951,2022-01-09 19:55:44,FI105,BENZENE PRODUCT FLOW,FAULT
763230,2022-01-09 20:00:23,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH
763793,2022-01-09 20:09:46,PI106,E-106 REBOILER INLET PRESSURE,FAULT
763994,2022-01-09 20:13:07,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH RECOVERED
764222,2022-01-09 20:16:55,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,LOW LOW RECOVERED
764546,2022-01-09 20:22:19,FI101,T-101 DISTILLATION COLUMN IN FLOW,HIGH HIGH RECOVERED
764642,2022-01-09 20:23:55,FI110,TOLUENE PRODUCT FLOW,LOW
765012,2022-01-09 20:30:05,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT
765520,2022-01-09 20:38:33,FI105,BENZENE PRODUCT FLOW,LOW
766381,2022-01-09 20:52:54,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW
766498,2022-01-09 20:54:51,FI110,TOLUENE PRODUCT FLOW,LOW RECOVERED
766811,2022-01-09 21:00:04,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW RECOVERED
767234,2022-01-09 21:07:07,FI105,BENZENE PRODUCT FLOW,LOW RECOVERED
767817,2022-01-09 21:16:50,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH RECOVERED
767883,2022-01-09 21:17:56,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH HIGH
767959,2022-01-09 21:19:12,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,FAULT
768150,2022-01-09 21:22:23,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,HIGH
768786,2022-01-09 21:32:59,PI106,E-106 REBOILER INLET PRESSURE,FAULT RECOVERED
769308,2022-01-09 21:41:41,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,LOW
769357,2022-01-09 21:42:30,FI105,BENZENE PRODUCT FLOW,FAULT RECOVERED
770137,2022-01-09 21:55:30,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW RECOVERED
770752,2022-01-09 22:05:45,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT RECOVERED
770858,2022-01-09 22:07:31,FI110,TOLUENE PRODUCT FLOW,FAULT
770951,2022-01-09 22:09:04,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,HIGH RECOVERED
771023,2022-01-09 22:10:16,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH HIGH RECOVERED
771148,2022-01-09 22:12:21,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,HIGH HIGH
771486,2022-01-09 22:17:59,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,FAULT RECOVERED
771820,2022-01-09 22:23:33,FI105,BENZENE PRODUCT FLOW,FAULT
773000,2022-01-09 22:43:13,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,LOW RECOVERED
773075,2022-01-09 22:44:28,TI106,E-106 REBOILER INLET TEMPERATURE,LOW LOW
774131,2022-01-09 23:02:04,FI110,TOLUENE PRODUCT FLOW,FAULT RECOVERED
774234,2022-01-09 23:03:47,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,HIGH HIGH RECOVERED
774474,2022-01-09 23:07:47,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
775311,2022-01-09 23:21:44,FI105,BENZENE PRODUCT FLOW,FAULT RECOVERED
775588,2022-01-09 23:26:21,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
776034,2022-01-09 23:33:47,TI106,E-106 REBOILER INLET TEMPERATURE,LOW LOW RECOVERED
776350,2022-01-09 23:39:03,PI101,T-101 DISTILLATION COLUMN PRESSURE,LOW LOW
777781,2022-01-10 00:02:54,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT
778241,2022-01-10 00:10:34,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT RECOVERED
781808,2022-01-10 01:10:01,PI101,T-101 DISTILLATION COLUMN PRESSURE,LOW LOW RECOVERED
781922,2022-01-10 01:11:55,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT
781987,2022-01-10 01:13:00,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT
782393,2022-01-10 01:19:46,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT RECOVERED
782864,2022-01-10 01:27:37,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT
783064,2022-01-10 01:30:57,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH
783335,2022-01-10 01:35:28,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT RECOVERED
783669,2022-01-10 01:41:02,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW
783806,2022-01-10 01:43:19,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT
784267,2022-01-10 01:51:00,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT RECOVERED
784277,2022-01-10 01:51:10,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT RECOVERED
784446,2022-01-10 01:53:59,FI105,BENZENE PRODUCT FLOW,HIGH
785263,2022-01-10 02:07:36,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH
785447,2022-01-10 02:10:40,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH RECOVERED
785491,2022-01-10 02:11:24,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW
786731,2022-01-10 02:32:04,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW RECOVERED
786974,2022-01-10 02:36:07,FI105,BENZENE PRODUCT FLOW,HIGH RECOVERED
787166,2022-01-10 02:39:19,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,HIGH HIGH
787242,2022-01-10 02:40:35,TI106,E-106 REBOILER INLET TEMPERATURE,LOW
789728,2022-01-10 03:22:01,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH
789954,2022-01-10 03:25:47,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW LOW
790215,2022-01-10 03:30:08,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,LOW
790574,2022-01-10 03:36:07,TI106,E-106 REBOILER INLET TEMPERATURE,LOW RECOVERED
790599,2022-01-10 03:36:32,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,LOW LOW
790636,2022-01-10 03:37:09,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,FAULT
790654,2022-01-10 03:37:27,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH RECOVERED
791114,2022-01-10 03:45:07,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,LOW RECOVERED
791374,2022-01-10 03:49:27,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW RECOVERED
791677,2022-01-10 03:54:30,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH HIGH
792166,2022-01-10 04:02:39,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,HIGH HIGH
792436,2022-01-10 04:07:09,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW LOW RECOVERED
793183,2022-01-10 04:19:36,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH
793276,2022-01-10 04:21:09,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,FAULT RECOVERED
793741,2022-01-10 04:28:54,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH RECOVERED
795053,2022-01-10 04:50:46,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW
795055,2022-01-10 04:50:48,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW LOW
795206,2022-01-10 04:53:19,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,LOW LOW RECOVERED
795333,2022-01-10 04:55:26,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH RECOVERED
795741,2022-01-10 05:02:14,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,HIGH HIGH RECOVERED
795854,2022-01-10 05:04:07,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH HIGH RECOVERED
796128,2022-01-10 05:08:41,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH
796275,2022-01-10 05:11:08,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,HIGH
796685,2022-01-10 05:17:58,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW LOW
797460,2022-01-10 05:30:53,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,LOW LOW
797801,2022-01-10 05:36:34,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW LOW RECOVERED
797926,2022-01-10 05:38:39,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH RECOVERED
798438,2022-01-10 05:47:11,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,HIGH RECOVERED
799051,2022-01-10 05:57:24,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH HIGH
799055,2022-01-10 05:57:28,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW LOW RECOVERED
799160,2022-01-10 05:59:13,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,HIGH HIGH RECOVERED
799539,2022-01-10 06:05:32,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW RECOVERED
800781,2022-01-10 06:26:14,FI110,TOLUENE PRODUCT FLOW,HIGH HIGH
801327,2022-01-10 06:35:20,TI106,E-106 REBOILER INLET TEMPERATURE,LOW LOW
801425,2022-01-10 06:36:58,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH HIGH RECOVERED
801564,2022-01-10 06:39:17,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH
801969,2022-01-10 06:46:02,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,LOW
803673,2022-01-10 07:14:26,TI106,E-106 REBOILER INLET TEMPERATURE,LOW LOW RECOVERED
804031,2022-01-10 07:20:24,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH HIGH
804045,2022-01-10 07:20:38,FI110,TOLUENE PRODUCT FLOW,HIGH HIGH RECOVERED
804521,2022-01-10 07:28:34,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,LOW LOW RECOVERED
804631,2022-01-10 07:30:24,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH RECOVERED
805399,2022-01-10 07:43:12,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,FAULT
806291,2022-01-10 07:58:04,TI107,E-106 REBOILER OUTLET TEMPERATURE,HIGH HIGH
806631,2022-01-10 08:03:44,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW LOW
806646,2022-01-10 08:03:59,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,LOW LOW
806665,2022-01-10 08:04:18,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,FAULT
807280,2022-01-10 08:14:33,TI107,E-106 REBOILER OUTLET TEMPERATURE,HIGH HIGH RECOVERED
807696,2022-01-10 08:21:29,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH HIGH RECOVERED
807793,2022-01-10 08:23:06,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,LOW RECOVERED
808622,2022-01-10 08:36:55,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW LOW RECOVERED
809110,2022-01-10 08:45:03,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,FAULT RECOVERED
809812,2022-01-10 08:56:45,FI105,BENZENE PRODUCT FLOW,HIGH
810012,2022-01-10 09:00:05,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,FAULT RECOVERED
811514,2022-01-10 09:25:07,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,LOW LOW RECOVERED
811657,2022-01-10 09:27:30,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,FAULT
814254,2022-01-10 10:10:47,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,FAULT
814542,2022-01-10 10:15:35,FI106,E-106 REBOILER INLET FLOW,LOW
