,timestamp,tag,type,description
2429,2024-05-01 16:29:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2430,2024-05-01 16:30:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2431,2024-05-01 16:30:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2432,2024-05-01 16:30:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2433,2024-05-01 16:31:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2434,2024-05-01 16:31:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2435,2024-05-01 16:31:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2436,2024-05-01 16:32:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2437,2024-05-01 16:32:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2438,2024-05-01 16:33:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2439,2024-05-01 16:33:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2440,2024-05-01 16:34:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2441,2024-05-01 16:35:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2442,2024-05-01 16:35:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2443,2024-05-01 16:36:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2444,2024-05-01 16:36:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2445,2024-05-01 16:36:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2446,2024-05-01 16:36:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2447,2024-05-01 16:37:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2448,2024-05-01 16:37:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2449,2024-05-01 16:37:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2450,2024-05-01 16:37:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2451,2024-05-01 16:37:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2452,2024-05-01 16:38:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2453,2024-05-01 16:38:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2454,2024-05-01 16:39:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2455,2024-05-01 16:39:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2456,2024-05-01 16:39:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2457,2024-05-01 16:39:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2458,2024-05-01 16:40:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2459,2024-05-01 16:40:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2460,2024-05-01 16:41:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2461,2024-05-01 16:41:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2462,2024-05-01 16:41:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2463,2024-05-01 16:42:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2464,2024-05-01 16:42:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2465,2024-05-01 16:42:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2466,2024-05-01 16:43:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2467,2024-05-01 16:43:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2468,2024-05-01 16:43:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2469,2024-05-01 16:44:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2470,2024-05-01 16:44:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2471,2024-05-01 16:44:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2472,2024-05-01 16:45:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2473,2024-05-01 16:45:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2474,2024-05-01 16:45:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2475,2024-05-01 16:46:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2476,2024-05-01 16:46:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2477,2024-05-01 16:47:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2478,2024-05-01 16:47:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2479,2024-05-01 16:48:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2480,2024-05-01 16:48:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2481,2024-05-01 16:48:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2482,2024-05-01 16:49:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2483,2024-05-01 16:49:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2484,2024-05-01 16:49:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2485,2024-05-01 16:49:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2486,2024-05-01 16:50:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2487,2024-05-01 16:50:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2488,2024-05-01 16:50:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2489,2024-05-01 16:50:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2490,2024-05-01 16:50:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2491,2024-05-01 16:51:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2492,2024-05-01 16:51:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2493,2024-05-01 16:51:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2494,2024-05-01 16:52:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2495,2024-05-01 16:52:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2496,2024-05-01 16:53:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2497,2024-05-01 16:53:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2498,2024-05-01 16:54:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2499,2024-05-01 16:54:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2500,2024-05-01 16:54:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2501,2024-05-01 16:55:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2502,2024-05-01 16:55:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2503,2024-05-01 16:56:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2504,2024-05-01 16:56:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2505,2024-05-01 16:56:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2506,2024-05-01 16:56:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2507,2024-05-01 16:57:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2508,2024-05-01 16:57:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2509,2024-05-01 16:57:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2510,2024-05-01 16:58:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2511,2024-05-01 16:58:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2512,2024-05-01 16:59:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2513,2024-05-01 16:59:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2514,2024-05-01 16:59:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2515,2024-05-01 17:00:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2516,2024-05-01 17:00:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2517,2024-05-01 17:00:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2518,2024-05-01 17:00:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2519,2024-05-01 17:00:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2520,2024-05-01 17:01:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2521,2024-05-01 17:01:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2522,2024-05-01 17:01:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2523,2024-05-01 17:01:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2524,2024-05-01 17:02:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2525,2024-05-01 17:02:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2526,2024-05-01 17:02:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2527,2024-05-01 17:02:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2528,2024-05-01 17:02:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2529,2024-05-01 17:03:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2530,2024-05-01 17:03:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2531,2024-05-01 17:03:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2532,2024-05-01 17:04:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2533,2024-05-01 17:05:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2534,2024-05-01 17:05:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2535,2024-05-01 17:05:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2536,2024-05-01 17:05:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2537,2024-05-01 17:05:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2538,2024-05-01 17:06:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2539,2024-05-01 17:06:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2540,2024-05-01 17:07:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2541,2024-05-01 17:07:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2542,2024-05-01 17:07:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2543,2024-05-01 17:07:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2544,2024-05-01 17:08:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2545,2024-05-01 17:09:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2546,2024-05-01 17:09:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2547,2024-05-01 17:10:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2548,2024-05-01 17:10:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2549,2024-05-01 17:11:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2550,2024-05-01 17:11:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2551,2024-05-01 17:11:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2552,2024-05-01 17:12:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2553,2024-05-01 17:13:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2554,2024-05-01 17:14:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2555,2024-05-01 17:14:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2556,2024-05-01 17:15:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2557,2024-05-01 17:15:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2558,2024-05-01 17:16:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2559,2024-05-01 17:16:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2560,2024-05-01 17:17:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2561,2024-05-01 17:18:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2562,2024-05-01 17:19:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2563,2024-05-01 17:19:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2564,2024-05-01 17:19:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2565,2024-05-01 17:20:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2566,2024-05-01 17:21:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2567,2024-05-01 17:21:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2568,2024-05-01 17:21:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2569,2024-05-01 17:21:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2570,2024-05-01 17:22:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2571,2024-05-01 17:22:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2572,2024-05-01 17:23:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2573,2024-05-01 17:23:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2574,2024-05-01 17:24:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2575,2024-05-01 17:24:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2576,2024-05-01 17:25:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2577,2024-05-01 17:25:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2578,2024-05-01 17:25:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2579,2024-05-01 17:27:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2580,2024-05-01 17:27:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2581,2024-05-01 17:27:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2582,2024-05-01 17:29:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2583,2024-05-01 17:29:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2584,2024-05-01 17:30:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2585,2024-05-01 17:30:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2586,2024-05-01 17:31:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2587,2024-05-01 17:31:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2588,2024-05-01 17:32:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2589,2024-05-01 17:32:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2590,2024-05-01 17:32:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2591,2024-05-01 17:33:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2592,2024-05-01 17:33:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2593,2024-05-01 17:33:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2594,2024-05-01 17:34:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2595,2024-05-01 17:34:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2596,2024-05-01 17:35:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2597,2024-05-01 17:35:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2598,2024-05-01 17:36:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2599,2024-05-01 17:37:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2600,2024-05-01 17:37:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2601,2024-05-01 17:37:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2602,2024-05-01 17:38:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2603,2024-05-01 17:38:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2604,2024-05-01 17:38:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2605,2024-05-01 17:39:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2606,2024-05-01 17:39:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2607,2024-05-01 17:41:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2608,2024-05-01 17:41:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2609,2024-05-01 17:41:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2610,2024-05-01 17:41:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2611,2024-05-01 17:42:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2612,2024-05-01 17:42:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2613,2024-05-01 17:42:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2614,2024-05-01 17:42:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2615,2024-05-01 17:43:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2616,2024-05-01 17:43:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2617,2024-05-01 17:43:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2618,2024-05-01 17:44:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2619,2024-05-01 17:44:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2620,2024-05-01 17:44:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2621,2024-05-01 17:44:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2622,2024-05-01 17:45:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2623,2024-05-01 17:46:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2624,2024-05-01 17:47:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2625,2024-05-01 17:48:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2626,2024-05-01 17:48:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2627,2024-05-01 17:48:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2628,2024-05-01 17:49:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2629,2024-05-01 17:49:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2630,2024-05-01 17:49:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2631,2024-05-01 17:49:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2632,2024-05-01 17:50:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2633,2024-05-01 17:50:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2634,2024-05-01 17:51:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2635,2024-05-01 17:51:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2636,2024-05-01 17:52:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2637,2024-05-01 17:52:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2638,2024-05-01 17:52:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2639,2024-05-01 17:52:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2640,2024-05-01 17:52:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2641,2024-05-01 17:53:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2642,2024-05-01 17:53:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2643,2024-05-01 17:54:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2644,2024-05-01 17:54:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2645,2024-05-01 17:54:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2646,2024-05-01 17:54:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2647,2024-05-01 17:54:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2648,2024-05-01 17:54:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2649,2024-05-01 17:55:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2650,2024-05-01 17:55:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2651,2024-05-01 17:55:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2652,2024-05-01 17:57:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2653,2024-05-01 17:58:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2654,2024-05-01 17:59:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2655,2024-05-01 18:00:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2656,2024-05-01 18:00:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2657,2024-05-01 18:00:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2658,2024-05-01 18:01:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2659,2024-05-01 18:01:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2660,2024-05-01 18:01:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2661,2024-05-01 18:01:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2662,2024-05-01 18:02:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2663,2024-05-01 18:02:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2664,2024-05-01 18:03:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2665,2024-05-01 18:03:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2666,2024-05-01 18:04:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2667,2024-05-01 18:05:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2668,2024-05-01 18:05:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2669,2024-05-01 18:06:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2670,2024-05-01 18:07:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2671,2024-05-01 18:07:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2672,2024-05-01 18:08:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2673,2024-05-01 18:08:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2674,2024-05-01 18:08:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2675,2024-05-01 18:08:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2676,2024-05-01 18:10:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2677,2024-05-01 18:10:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2678,2024-05-01 18:10:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2679,2024-05-01 18:10:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2680,2024-05-01 18:10:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2681,2024-05-01 18:11:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2682,2024-05-01 18:11:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2683,2024-05-01 18:11:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2684,2024-05-01 18:11:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2685,2024-05-01 18:12:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2686,2024-05-01 18:12:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2687,2024-05-01 18:12:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2688,2024-05-01 18:13:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2689,2024-05-01 18:14:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2690,2024-05-01 18:15:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2691,2024-05-01 18:15:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2692,2024-05-01 18:16:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2693,2024-05-01 18:16:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2694,2024-05-01 18:17:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2695,2024-05-01 18:17:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2696,2024-05-01 18:17:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2697,2024-05-01 18:18:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2698,2024-05-01 18:18:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2699,2024-05-01 18:18:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2700,2024-05-01 18:19:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2701,2024-05-01 18:19:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2702,2024-05-01 18:20:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2703,2024-05-01 18:20:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2704,2024-05-01 18:21:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2705,2024-05-01 18:21:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2706,2024-05-01 18:23:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2707,2024-05-01 18:23:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2708,2024-05-01 18:23:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2709,2024-05-01 18:23:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2710,2024-05-01 18:24:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2711,2024-05-01 18:24:30.000000000,FIR123,H,FLW COND CW HIGH ALM
2712,2024-05-01 18:24:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2713,2024-05-01 18:24:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2714,2024-05-01 18:25:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2715,2024-05-01 18:25:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2716,2024-05-01 18:25:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2717,2024-05-01 18:26:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2718,2024-05-01 18:27:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2719,2024-05-01 18:27:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2720,2024-05-01 18:28:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2721,2024-05-01 18:28:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2722,2024-05-01 18:29:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2723,2024-05-01 18:29:10.000000000,FIR123,H,FLW COND CW HIGH ALM
2724,2024-05-01 18:30:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2725,2024-05-01 18:31:50.000000000,FIR123,H,FLW COND CW HIGH ALM
2726,2024-05-01 18:32:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2727,2024-05-01 18:32:20.000000000,FIR123,H,FLW COND CW HIGH ALM
2728,2024-05-01 18:32:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2729,2024-05-01 18:32:40.000000000,FIR123,H,FLW COND CW HIGH ALM
2730,2024-05-01 18:32:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
2731,2024-05-01 18:33:00.000000000,FIR123,H,FLW COND CW HIGH ALM
2732,2024-05-01 18:33:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
